,company_name,company_address,company_brand,company_halal_status,company_info_url,state,category
77,ECOLITE BIOTECH MANUFACTURING SDN.BHD,"LOT 9284 & 9285,  JALAN YONG PENG, SRI MEDAN 83400 Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20050906-170123&type=C&ty=CO,01,OEM
78,ENHANCE FAMOUS SDN BHD,"NO.71 & 73, JALAN CEMERLANG,  TAMAN PERINDUSTRIAN CEMERLANG,  81800 ULU TIRAM, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20051021-145347&type=C&ty=CO,01,OEM
79,EONLIPIDS NUTRITION SPECIALTIES SDN BHD,"LOT 567, JALAN KELULI 9, KAWASAN PERINDUSTRIAN PASIR GUDANG, 81700 JOHOR BHARU, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20070906-135957&type=C&ty=CO,01,OEM
80,EVERLASTING FOOD INDUSTRIES SDN BHD,"LOT 16053, JALAN TEKNOLOGI 6, KAWASAN PERINDUSTRIAN TANGKAK, 84900 TANGKAK Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20091105-101717&type=C&ty=CO,01,OEM
81,FARM FRESH MILK SDN BHD,"NO. 11-1, JALAN PETALING, KAWASAN PERINDUSTRIAN LARKIN, 80350 JOHOR BAHRU, JOHOR. 80350 JOHOR BAHRU Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20080728-122821&type=C&ty=CO,01,OEM
82,FARMLAND BAKERY (M) SDN BHD,"PLO 67, JALAN PERSIARAN TEKNOLOGI, TAMAN TEKNOLOGI JOHOR, 81400 SENAI, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20050929-152011&type=C&ty=CO,01,OEM
83,FFM GRAINS & MILLS SDN.BHD.,"PTD 9035, LORONG PUKAL DUA KAW PELABUHAN JOHOR 81700 PASIR GUDANG, JOHOR ",,,directory/slm_viewdetail.php?comp_code=COMP-20050525-115750&type=C&ty=CO,01,OEM
84,FLAVARIS (M) SDN BHD,"NO. 3,  JALAN KEMPAS LAMA 2/4, KEMPAS LAMA,  81200 JOHOR BHARU, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20180305-092305&type=C&ty=CO,01,OEM
85,FOOD EXCELLENCE SPECIALIST SDN. BHD.,"PLO 88/89, JALAN NIBONG 5,  TANJUNG LANGSAT INDUSTRIAL COMPLEX, 81700 PASIR GUDANG, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20130925-171709&type=C&ty=CO,01,OEM
86,FORTUNE FOOD MANUFACTURING SDN. BHD.,"NO.3, JALAN SELATAN 3,  TAMAN PERINDUSTRIAN RINGAN PULAI, 81300 SKUDAI, JOHOR BHARU, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20200608-182608&type=C&ty=CO,01,OEM
87,FRESH FRUIT JUICE MFG (M) SDN BHD,"LOT 1907, JALAN IBRAHIM,  MUKIM SUNGAI PINGGAN, 82200 BENUT, PONTIAN, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20050901-165825&type=C&ty=CO,01,OEM
88,FREZFRUTA FOOD INDUSTRIES SDN BHD,"LOT 4045, JALAN RIANG 21, TAMAN GEMBIRA, 81200 JOHOR BAHRU Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20050601-164717&type=C&ty=CO,01,OEM
89,FRONTIER FOOD INDUSTRIES SDN BHD,"NO.18,TEBRAU INDUSTRIAL ESTATE 2 JALAN ANGKASA MAS UTAMA 81100 JOHOR BAHRU, JOHOR. 81100 JOHOR Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20121211-074956&type=C&ty=CO,01,OEM
90,FUJI GLOBAL CHOCOLATE (M) SDN. BHD.,"PLOT D32, JALAN DPB/6, PELABUHAN TANJUNG PELEPAS, 81550 GELANG PATAH, JOHOR BAHRU, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20100201-101806&type=C&ty=CO,01,OEM
91,GCB FOODS SDN BHD,"PLO 725, JALAN KELULI 9, KAWASAN PERINDUSTRIAN  PASIR GUDANG  81700 PASIR GUDANG, JOHOR. 81700 Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20061111-084845&type=C&ty=CO,01,OEM
92,GEMIE PASTRY MANUFACTURING SDN BHD,"NO.66 & 68, JALAN INTAN 3, TAMAN INTAN, 86000 KLUANG, JOHOR ",,,directory/slm_viewdetail.php?comp_code=COMP-20050705-120433&type=C&ty=CO,01,OEM
93,GLOBAL PREMIUM RESOURCES SDN BHD,"UNIT E, LOT 52885,  BATU 2, JALAN MINYAK BEKU, 83000 BATU PAHAT, JOHOR. 83000 BATU PAHAT Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20100521-151044&type=C&ty=CO,01,OEM
94,GOLDEN RIM EQUITY SDN. BHD.,"NO. 652, JALAN IDAMAN 3/9, KAWASAN PERINDUSTRIAN DESA IDAMAN, 81400 SENAI, JOHOR. Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20190619-093214&type=C&ty=CO,01,OEM
95,GPO MARKETING SDN BHD,"NO. 14, JALAN GEMILANG 1, TAMAN PERINDUSTRIAN CEMERLANG, 81800 ULU TIRAM, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20140408-161319&type=C&ty=CO,01,OEM
96,GUAN CHONG COCOA MANUFACTURER SDN BHD,"PLO 273,  JALAN TIMAH 2, PASIR GUDANG, 81700 JOHOR BAHRU, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20050516-155525&type=C&ty=CO,01,OEM
97,HAIS FOOD (M) SDN BHD,"NO. 4, JALAN ISTIMEWA 8, TAMAN PERINDUSTRIAN CEMERLANG, 81800 ULU TIRAM, JOHOR BAHRU, JOHOR. ",,,directory/slm_viewdetail.php?comp_code=COMP-20110506-023020&type=C&ty=CO,01,OEM
98,HALEX WOOLTON (M) SDN BHD,"NO. 9, JALAN TARUKA, TAMPOI INDUSTRIAL ESTATE, 81200 JOHOR BAHRU Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20061002-094301&type=C&ty=CO,01,OEM
99,HAPPY GRASS PRODUCTS SDN. BHD,"PLO NO. 14, JALAN PERINDUSTRIAN 2, KAWASAN PERINDUSTRIAN PONTIAN, BATU 35, JALAN JOHOR, 82000 PONTIAN, JOHOR Johor",,,directory/slm_viewdetail.php?comp_code=COMP-20081229-185316&type=C&ty=CO,01,OEM
